"scadenza","misura"
"1276","PNC-C.6"
"1277","PNC-C.6"
"1279","PNC-C.7"
"1280","PNC-C.7"
"1282","PNC-C.7"
"1284","PNC-C.7"
"1286","PNC-C.7"
"1287","PNC-C.7"
"1290","PNC-C.8"
"1291","PNC-C.8"
"1294","PNC-C.8"
"1295","PNC-C.8"
"1297","PNC-C.8"
"1300","PNC-C.9"
"1301","PNC-C.9"
"1304","PNC-C.9"
"1305","PNC-C.9"
"1307","PNC-C.9"
"1310","PNC-C.10"
"1311","PNC-C.10"
"1312","PNC-C.10"
"1313","PNC-C.10"
"1315","PNC-C.10"
"1318","PNC-C.11"
"1319","PNC-C.11"
"1322","PNC-C.11"
"1323","PNC-C.11"
"1325","PNC-C.11"
"1328","PNC-C.12"
"1331","PNC-C.12"
"1332","PNC-C.12"
"1334","PNC-C.12"
"1336","PNC-C.13"
"1337","PNC-C.13"
"1339","PNC-C.13"
"1341","PNC-C.13"
"1343","PNC-C.13"
"1344","PNC-C.13"
"1347","PNC-D.1"
"1350","PNC-D.1"
"1351","PNC-D.1"
"1353","PNC-D.1"
"1354","PNC-E.1.1"
"1356","PNC-E.1.1"
"1357","PNC-E.1.1"
"1358","PNC-E.1.1"
"1359","PNC-E.1.1"
"1360","PNC-E.1.1"
"1362","PNC-E.1.2"
"1366","PNC-E.1.2"
"1367","PNC-E.1.3"
"1368","PNC-E.1.3"
"1370","PNC-E.1.3"
"1372","PNC-E.1.4"
"1373","PNC-E.1.5"
"1376","PNC-E.1.5"
"1377","PNC-E.1.5"
"1378","PNC-E.2"
"1382","PNC-E.3"
"1384","PNC-E.3"
"1388","PNC-E.3"
"1389","PNC-F.1"
"1390","PNC-F.1"
"1391","PNC-F.1"
"1392","PNC-F.1"
"1395","PNC-F.1"
"1396","PNC-F.1"
"1397","PNC-F.1"
"1399","PNC-F.3"
"1400","PNC-F.3"
"1401","PNC-F.3"
"1403","PNC-F.3"
"1406","PNC-F.3"
"1407","PNC-G.1.1"
"1409","PNC-G.1.1"
"1413","PNC-G.1.1"
"1420","PNC-G.1.1"
"1422","PNC-G.1.1"
"1423","PNC-G.1.2"
"1425","PNC-G.1.2"
"1429","PNC-G.1.2"
"1435","PNC-G.1.2"
"1437","PNC-G.1.2"
"1438","PNC-H.1"
"1439","PNC-H.1"
"1440","PNC-H.1"
"1441","PNC-H.1"
"1442","PNC-H.1"
"1443","PNC-I.1"
"1446","PNC-I.1"
"1447","PNC-I.1"
"1452","PNC-I.1"
"1455","M1C3I1.1.3"
"1456","M1C3I1.1.7"
"1457","M1C3I1.1.11"
"1466","M1C1I1.10"
"1467","M1C1R1.10"
"1467","M1C1I1.10"
"1468","M1C1I2.3.2"
"1468","M1C1R2.3.1"
"1468","M1C1R1.9"
"1469","M1C1R3.1.5"
"1470","M1C1R1.9"
"1470","M1C1R2.3.1"
"1470","M1C1I2.3.2"
"1471","M1C1R1.10"
"1472","M1C1R1.10"
"1473","M1C1R1.10"
"1474","M1C1R1.10"
"1475","M1C1R1.10"
"1476","M1C1R1.10"
"1477","M1C1R1.10"
"1478","M1C1R1.11"
"1479","M1C1R1.11"
"1480","M1C1R1.11"
"1481","M1C1R1.11"
"1482","M1C1R1.11"
"1483","M1C1R1.9BIS"
"1484","M1C1R3.1.1"
"1488","M1C2R3"
"1489","M1C2R3"
"1490","M2C1I2.2"
"1491","M2C1I3.4"
"1492","M2C1I3.4"
"1493","M2C1I3.4"
"1494","M2C1I3.4"
"1495","M2C2I4.2"
"1496","M2C2I4.2"
"1498","M2C2I4.4.1"
"1499","M2C2I5.1A"
"1499","M2C2I5.1B"
"1500","M2C2I5.4"
"1501","M2C4I2.1.A1"
"1501","M2C4I2.1.A2"
"1502","M2C4I2.1.A1"
"1502","M2C4I2.1.A2"
"1503","M2C4I3.1"
"1507","M3C2I2.3"
"1508","M4C1I1.5"
"1509","M4C1I1.7"
"1510","M4C1I3.4"
"1511","M4C1R1.1"
"1512","M4C1R2.1"
"1513","M4C1R2.1"
"1514","M4C2I1.2"
"1515","M4C2I1.5"
"1516","M4C2I2.3"
"1517","M4C2I3.1"
"1518","M4C2I3.2"
"1519","M5C1I1.1"
"1520","M5C1I2.1"
"1521","M6C2I1.2"
"1522","M7C1I1.1"
"1523","M7C1I2.1"
"1524","M7C1I3.1"
"1525","M7C1I4.1"
"1526","M7C1I4.1"
"1527","M7C1I5.1"
"1528","M7C1I5.1"
"1533","M7C1I7.1"
"1534","M7C1I7.1"
"1535","M7C1I7.1"
"1536","M7C1I8.1"
"1537","M7C1I8.1"
"1538","M7C1I8.1"
"1539","M7C1I8.1"
"1541","M7C1I10.1"
"1542","M7C1I11.1"
"1546","M7C1I13.1"
"1547","M7C1I13.1"
"1548","M7C1I13.1"
"1549","M7C1I14.1"
"1550","M7C1I14.1"
"1551","M7C1I15.1.2"
"1551","M7C1I15.1.1"
"1552","M7C1I15.1.1"
"1552","M7C1I15.1.2"
"1553","M7C1I15.1.1"
"1554","M7C1I16.1"
"1555","M7C1I16.1"
"1556","M7C1I16.1"
"1557","M7C1I17.1"
"1558","M7C1I17.1"
"1559","M7C1I17.1"
"1560","M7C1I17.1"
"1561","M7C1R1.1"
"1562","M7C1R1.1"
"1563","M7C1R1.1"
"1564","M7C1R2.1"
"1565","M7C1R2.1"
"1566","M7C1R3.1"
"1567","M7C1R4.1"
"1569","M7C1R5.1"
"1570","M7C1R5.1"
"1571","M1C3I1.1.10"
"1575","PNC-A.1.1.1"
"1576","PNC-A.1.1.1"
"1577","PNC-A.1.1.2"
"1578","PNC-A.1.1.2"
"1579","PNC-A.1.1.3"
"1580","PNC-A.1.1.3"
"1581","PNC-A.1.1.4"
"1582","PNC-A.1.1.4"
"1583","PNC-A.1.1.5"
"1584","PNC-A.1.1.5"
"1585","PNC-A.1.1.6"
"1588","PNC-A.1.1.6"
"1589","PNC-A.1.1.7"
"1590","PNC-A.1.1.7"
"1591","PNC-A.1.1.8"
"1592","PNC-A.1.1.8"
"1593","PNC-A.1.1.9"
"1594","PNC-A.1.1.9"
"1595","PNC-A.1.1.10"
"1596","PNC-A.1.1.10"
"1598","PNC-A.1.2.1"
"1599","PNC-A.1.2.1"
"1600","PNC-A.1.2.2"
"1601","PNC-A.1.2.2"
"1602","PNC-A.1.3"
"1605","PNC-A.2"
"1606","PNC-A.2"
"1607","PNC-A.2"
"1608","PNC-A.2"
